NCT Number,Conditions,Conditions_mapped_concept,Conditions_mapped_concept_id,Conditions_mapped_official_concept
NCT06199193,alzheimer disease,Alzheimer Disease,C0002395,Alzheimer's Disease
NCT07000721,"lung cancer, peripheral pulmonary nodules",Peripheral Pulmonary Nodule,C5552721,Peripheral Pulmonary Nodule
NCT06759467,gastric cancer with positive peritoneal exfoliative cytology,Primary human epidermal growth factor 2 positive gastric cancer,C5770073,Primary HER2-positive gastric cancer
NCT05795725,colon cancer,colon cancer,C0007102,Malignant tumor of colon
NCT07243665,glaucoma,Glaucoma,C0017601,Glaucoma
NCT06661590,no disease state or condition,No disease,C0497153,No disease
NCT06479772,breast cancer female,Breast cancer female,C0235653,Malignant neoplasm of female breast
NCT05532774,myopia,Myopia,C0027092,Myopia
NCT06242938,cerebral hemorrhage,Cerebral hemorrhage,C0007784,Cerebral hemisphere hemorrhage
NCT05237310,colorectal cancer,Colorectal Cancer,C0009402,Colorectal Carcinoma
NCT05923359,atrial fibrillation,Atrial Fibrillation,C0004238,Atrial Fibrillation
NCT05790473,fetal anomaly,Fetal anomaly,C0000768,Congenital Abnormality
NCT05407506,thyroid nodule,Thyroid Nodule,C0040137,Thyroid Nodule
NCT07200427,breast cancer prevention,Breast Cancer Prevention,C0281189,Breast Cancer Prevention
NCT06827132,lung cancer,Lung Cancer,C0242379,Malignant neoplasm of lung
NCT03775811,colonoscopy,colonoscopy,C0009378,colonoscopy
NCT06876259,acute otitis media (aom),AOM - Acute otitis media,C0271429,Acute otitis media
NCT03903042,diabetic retinopathy,Diabetic Retinopathy,C0011884,Diabetic Retinopathy
NCT05080088,adenoma colon,adenoma colon,C4551463,Colon adenoma
NCT03973762,diabetic retinopathy,Diabetic Retinopathy,C0011884,Diabetic Retinopathy
NCT06842147,atrial fibrillation (af),atrial fibrillation (AF),C0004238,Atrial Fibrillation
NCT06293183,cronich kidney disease,disfunción renal crónica,C0403447,Chronic Kidney Insufficiency
NCT06615609,post coronary artery bypass grafting,post coronary angioplasty,C1299451,Patient post angioplasty
NCT06517979,cancer,Cancer,C0006826,Malignant Neoplasms
NCT06718725,"the malignant lesions and non-malignant lesions of pancreas, bile duct, liver and lymph node","Liver, biliary, pancreas and gastrointestinal diseases NEC",C0341438,"Liver, biliary, pancreas and gastrointestinal diseases NEC"
NCT07045103,lung biopsy,lung biopsy,C0189485,Biopsy of lung
NCT05318495,adenoma,Adenoma,C0001430,Adenoma
NCT04699864,diabetic retinopathy,Diabetic Retinopathy,C0011884,Diabetic Retinopathy
NCT04978922,copd,COPD,C0024117,Chronic Obstructive Airway Disease
NCT05568992,advanced adenoma,Advanced adenomas,C3260303,Advanced adenomas
NCT04567030,periodontal diseases,Periodontal Diseases,C0031090,Periodontal Diseases
NCT04191330,heart failure,Heart failure,C0018801,Heart failure
NCT04620668,arthritis,arthritis,C0003864,Arthritis
NCT07020169,renal cell cancer,Renal Cell Cancer,C0007134,Renal Cell Carcinoma
NCT03685240,alzheimer's disease and related dementia,Alzheimer-type dementia,C0002395,Alzheimer's Disease
NCT04142879,stroke workflow and clinical outcome parameters,Workflow Item Description,C5708046,Workflow Item Description
NCT05829447,polyp of colon,Polyp of colon,C0009376,Colonic Polyps
NCT05243121,breast neoplasms,Breast Neoplasms,C1458155,Mammary Neoplasms
NCT07338643,abdominal pain,Abdominal Pain,C0000737,Abdominal Pain
NCT04792905,atrial fibrillation,Atrial Fibrillation,C0004238,Atrial Fibrillation
NCT05819099,stomach neoplasms,Stomach Neoplasms,C0038356,Stomach Neoplasms
NCT05892380,breast cancer,Breast Cancer,C0006142,Malignant neoplasm of breast
NCT05603923,depression,Depression,C0011570,Mental Depression
NCT06982885,endocytoscopy,endocytoscopy,C4733485,endocytoscopy
NCT05630170,left ventricular systolic dysfunction,Left ventricular systolic dysfunction,C1277187,Left ventricular systolic dysfunction
NCT05429333,constipation - functional,Constipation - functional,C0401146,Functional constipation
NCT04332055,"decision making, shared","Decision Making, Shared",C3179495,"Decision Making, Shared"
NCT07113223,heart failure,Heart failure,C0018801,Heart failure
NCT04969822,ivf,IVF,C0015915,Fertilization in Vitro
NCT06229301,myopia,Myopia,C0027092,Myopia
NCT04359355,adenoma colon,adenoma colon,C4551463,Colon adenoma
NCT04524104,depression,Depression,C0011570,Mental Depression
NCT03917017,liver resection,Liver resection,C0019144,Hepatectomy
NCT04752891,"otitis media, suppurative","Otitis Media, Suppurative",C0029888,Suppurative otitis media
NCT07065838,respiratory distress syndrome (rds),RDS - Respiratory distress syndrome of newborn,C0035220,"Respiratory Distress Syndrome, Newborn"
NCT05161065,atrial fibrillation,Atrial Fibrillation,C0004238,Atrial Fibrillation
NCT06649591,malignant brain tumors,malignant brain tumor,C0153633,Malignant neoplasm of brain
NCT06270992,lung cancer,Lung Cancer,C0242379,Malignant neoplasm of lung
NCT06690268,gastric adenocarcinoma,Gastric Adenocarcinoma,C0278701,Gastric Adenocarcinoma
NCT05858892,shoulder musculoskeletal disorders,diseases shoulder,C1290859,Disorder of shoulder
NCT05956886,sleep deprivation,Sleep Deprivation,C0037316,Sleep Deprivation
NCT03602989,diabetic retinopathy,Diabetic Retinopathy,C0011884,Diabetic Retinopathy
NCT06860360,myasthenia gravis,myasthenia gravis,C0026896,Myasthenia Gravis
NCT07150052,type 1 diabetes,Type 1 Diabetes,C0011854,"Diabetes Mellitus, Insulin-Dependent"
NCT06297382,nurse-patient relations,Nurse-Patient Relations,C0028658,Nurse-Patient Relations
NCT05754476,brain diseases,Brain Diseases,C0006111,Brain Diseases
NCT07319221,detecting number of root canal of human mandibular second molar,"root canal, molar, excluding final restoration",C5824797,"root canal, molar, excluding final restoration"
NCT06686056,secondary prevention of coronary heart disease,Primary prevention of ischaemic heart disease,C1278413,Primary prevention of ischemic heart disease
NCT06871072,multiple sclerosis,Multiple Sclerosis,C0026769,Multiple Sclerosis
NCT06174519,bacterial infections,Bacterial Infections,C0004623,Bacterial Infections
NCT05698056,breast cancer,Breast Cancer,C0006142,Malignant neoplasm of breast
NCT06617468,colon polyp,COLON POLYP,C0009376,Colonic Polyps
NCT06765525,"hip dysplasia, developmental","Hip Dysplasia, Developmental",C3280020,Developmental Dysplasia of the Hip
NCT06622967,breast neoplasm,BREAST NEOPLASM,C1458155,Mammary Neoplasms
NCT03214627,anemia,Anemia,C0002871,Anemia
NCT06213896,glaucoma,Glaucoma,C0017601,Glaucoma
NCT06998979,tooth extraction,Tooth Extraction,C0040440,Tooth Extraction
NCT04510545,colonic polyp,COLONIC POLYP,C0009376,Colonic Polyps
NCT07111637,multiple sclerosis,Multiple Sclerosis,C0026769,Multiple Sclerosis
NCT05538104,periapical lesions,Periapical lesion,C1852169,Periapical bone loss
NCT01696162,patellofemoral pain syndrome,Patellofemoral Pain Syndrome,C0877149,Patellofemoral Pain Syndrome
NCT05386849,"diabetes mellitus, type 2","Diabetes Mellitus, Type 2",C0011860,"Diabetes Mellitus, Non-Insulin-Dependent"
NCT04732208,diabetic retinopathy,Diabetic Retinopathy,C0011884,Diabetic Retinopathy
NCT04732156,prostate cancer,Prostate Cancer,C0376358,Malignant neoplasm of prostate
NCT06534814,the primary focus of this study is on gastric cancer,Gastric Cancer,C0024623,Malignant neoplasm of stomach
NCT01338116,community-associated infections,Community-Acquired Infections,C0206171,Community-Acquired Infections
NCT07259278,secondary prevention of coronary heart disease,Primary prevention of ischaemic heart disease,C1278413,Primary prevention of ischemic heart disease
NCT05514301,colorectal cancer,Colorectal Cancer,C0009402,Colorectal Carcinoma
NCT06574438,family,Family,C0015576,Family
NCT07263724,coronary artery bypass graft surgery (cabg),coronary artery bypass graft (CABG),C0010055,Coronary Artery Bypass Surgery
NCT04958577,abdominal pain/gastrointestinal issues,Abdominal Pain/Problems,C4036233,Abdominal Pain/Problems
NCT05681949,hepatocellular carcinoma,HEPATOCELLULAR CARCINOMA,C2239176,Liver carcinoma
NCT06686459,breast cancer invasive,breast cancer invasive,C0853879,Invasive carcinoma of breast
NCT05187585,"fractures, bone","Fractures, Bone",C0016658,Fracture
NCT04270032,breast cancer,Breast Cancer,C0006142,Malignant neoplasm of breast
NCT04777019,colonic polyp,COLONIC POLYP,C0009376,Colonic Polyps
NCT06782438,bone scan,Bone scan,C0203668,Radioisotope scan of bone
NCT05533190,mental health issue,Mental health issue,C4061796,Mental health issue
NCT06963606,tuberculosis (tb),tuberculosis (TB),C0041296,Tuberculosis
NCT05644730,"diabetes mellitus, type 1","Diabetes Mellitus, Type 1",C0011854,"Diabetes Mellitus, Insulin-Dependent"
NCT04869618,gastric dysplasia,Gastric dysplasia,C0267111,Gastric dysplasia
NCT06874647,radiology,Radiology,C0034599,Radiology Specialty
NCT07069647,age-related macular degeneration (amd),AMD - Age-related macular degeneration,C0242383,Age related macular degeneration
NCT05955625,myocardial infarction,Myocardial Infarction,C0027051,Myocardial Infarction
NCT05953948,liver transplant disorder,Liver transplant disorder,C0400967,Liver transplant disorder
NCT06552247,glaucoma,Glaucoma,C0017601,Glaucoma
NCT07179185,electrocardiogram,Electrocardiogram,C0013798,Electrocardiogram
NCT06593262,insomnia,Insomnia,C0917801,Sleeplessness
NCT05513261,colorectal cancer,Colorectal Cancer,C0009402,Colorectal Carcinoma
NCT05512793,colorectal cancer,Colorectal Cancer,C0009402,Colorectal Carcinoma
NCT05680090,emergencies,emergencies,C0013956,Emergency Situation
NCT05126173,malignant skin melanoma t0,malignant skin melanoma T0,C2216578,malignant melanoma of skin TNM staging primary tumor (T) T0
NCT04011761,"pediatric outpatients encountered in three specialty clinics, i.e. respirology, gastroenterology, and genito-urology",Seen in community pediatric clinic,C2585409,Seen in community pediatric clinic
NCT05077722,disruptive behavior,Disruptive Behavior,C0474416,Disruptive Behavior
NCT06636188,head and neck cancer,head and neck cancer,C0278996,Malignant Head and Neck Neoplasm
NCT05896709,reproductive issues,Reproductive Issues,C0206076,Reproductive History
NCT07110285,ivf outcomes,[V] IVF,C0733942,Encounter due to In vitro fertilization
NCT06904209,bowel preparation quality,Assessment of effectiveness of bowel preparation (procedure),C3532692,Assessment of effectiveness of bowel preparation
NCT07185984,infertility (ivf patients),Infertility,C0021359,Infertility
NCT06540196,lung cancer,Lung Cancer,C0242379,Malignant neoplasm of lung
NCT07256730,reconstruction of horizontal ridge defects,Reconstruction of ramus of mandible by horizontal osteotomy with bone graft,C2733284,Reconstruction of ramus of mandible by horizontal osteotomy with grafting of bone
NCT05594576,colorectal cancer,Colorectal Cancer,C0009402,Colorectal Carcinoma
NCT03621462,melanoma (skin),"Skin, Melanoma",C0151779,Cutaneous Melanoma
NCT04325815,polyps,polyps,C0032584,polyps
NCT05032651,end stage renal disease on dialysis,end stage renal disease on dialysis,C1997375,Dependence on dialysis due to end stage renal disease
NCT06887582,maxillary sinus disease,maxillary sinus disease,C0264235,Disorder of maxillary sinus
NCT04160988,diabetic retinopathy,Diabetic Retinopathy,C0011884,Diabetic Retinopathy
NCT05816473,gastrointestinal hemorrhage,Gastrointestinal Hemorrhage,C0017181,Gastrointestinal Hemorrhage
NCT04679181,homes for the aged,Homes for the Aged,C0019870,Homes for the Aged
NCT04455568,acute coronary syndrome,Acute Coronary Syndrome,C0948089,Acute Coronary Syndrome
NCT04532580,fracture,Fracture,C0016658,Fracture
NCT04123678,melanoma,melanoma,C0025202,melanoma
NCT06624852,coronary artery disease,coronary artery disease,C0010054,Coronary Arteriosclerosis
NCT07173673,atrial fibrillation,Atrial Fibrillation,C0004238,Atrial Fibrillation
NCT05796622,"behaviors, health",Health Behaviors,C0018687,Health behavior
NCT06521372,infertility primary,infertility primary,C0553573,Primary infertility
NCT06062433,asthma in children,Asthma in Children,C0264408,Childhood asthma
NCT06305364,colorectal neoplasms,Colorectal Neoplasms,C0009404,Colorectal Neoplasms
NCT05963724,colorectal cancer,Colorectal Cancer,C0009402,Colorectal Carcinoma
NCT05903287,pleural effusion,Pleural Effusion,C0032227,Pleural effusion (disorder)
NCT05903209,pneumothorax,pneumothorax,C0032326,Pneumothorax
NCT05872516,atrial fibrillation,Atrial Fibrillation,C0004238,Atrial Fibrillation
NCT05596929,internal disease,internal disease cause,C0679231,internal disease cause
NCT05611151,colorectal cancer,Colorectal Cancer,C0009402,Colorectal Carcinoma
NCT05057975,obstructive sleep apnea,Obstructive sleep apnea,C0520679,"Sleep Apnea, Obstructive"
NCT07296575,thyroid abnormalities,Thyroid abnormalities,C0040128,Thyroid Diseases
NCT06749145,aortic stenosis,Aortic Stenosis,C0003507,Aortic Valve Stenosis
NCT06506123,respiratory failure,Respiratory Failure,C1145670,Respiratory Failure
NCT06129201,nasopharyngeal carcinoma,Nasopharyngeal carcinoma,C2931822,Nasopharyngeal carcinoma
NCT06116344,prostate cancer,Prostate Cancer,C0376358,Malignant neoplasm of prostate
NCT05459545,"murmur, heart","Murmur, Heart",C0018808,Heart murmur
NCT05193656,bladder cancer,bladder cancer,C0005684,Malignant neoplasm of urinary bladder
NCT05176899,"murmur, heart","Murmur, Heart",C0018808,Heart murmur
NCT05064124,polyps,polyps,C0032584,polyps
NCT04953026,superior labrum from anterior to posterior injuries,Superior Labrum from Anterior to Posterior Injuries,C4277656,Superior Labrum from Anterior to Posterior Injuries
NCT05383053,alzheimer disease,Alzheimer Disease,C0002395,Alzheimer's Disease
NCT06862414,cancer screening,cancer screening,C0199230,Screening for cancer
NCT06612281,colorectal adenoma,Colorectal adenoma,C1302401,Adenoma of large intestine
NCT05968157,breast cancer,Breast Cancer,C0006142,Malignant neoplasm of breast
NCT05734820,colorectal polyp,colorectal polyp,C0949059,Polyp of large intestine
NCT04950036,labrum injury of the hip joint,traumatic tear of joint or ligament of hip,C4290371,traumatic tear of joint or ligament of hip
NCT04901130,colonoscopy,colonoscopy,C0009378,colonoscopy
NCT04608617,"stroke, ischemic","Stroke, ischemic",C0948008,Ischemic stroke
NCT04441580,colonic neoplasms,Colonic Neoplasms,C0009375,Colonic Neoplasms
NCT01850199,gestational diabetes,Gestational Diabetes,C0085207,Gestational Diabetes
NCT06932133,breast cancer,Breast Cancer,C0006142,Malignant neoplasm of breast
NCT06931496,prostate cancer (adenocarcinoma),"prostate cancer, adenocarcinoma",C0007112,Adenocarcinoma of prostate
NCT06892327,pregnancy,Pregnancy,C0032961,Pregnancy
NCT06321614,digestive system disease,Digestive System Disease,C0012242,Digestive System Disorders
NCT05646186,irritable bowel syndrome,Irritable bowel syndrome,C0022104,Irritable Bowel Syndrome
NCT05490823,anemia,Anemia,C0002871,Anemia
NCT04828915,covid19,COVID19,C5203670,COVID-19 Virus Disease
NCT04453956,adenoma,Adenoma,C0001430,Adenoma
NCT04045951,myopia,Myopia,C0027092,Myopia
NCT06392464,heart valve disease,Heart valve disease,C0018824,Heart valve disease
NCT05888623,colorectal neoplasms,Colorectal Neoplasms,C0009404,Colorectal Neoplasms
NCT05822895,colonic polyp,COLONIC POLYP,C0009376,Colonic Polyps
NCT04955067,"lateral ligament, ankle","Lateral Ligament, Ankle",C0206328,Ankle Lateral Ligament
NCT04380844,"diabetes mellitus, type 2","Diabetes Mellitus, Type 2",C0011860,"Diabetes Mellitus, Non-Insulin-Dependent"
NCT03904667,liver resection,Liver resection,C0019144,Hepatectomy
NCT03883035,esophagogastroduodenoscopy,Esophagogastroduodenoscopy,C0079304,Esophagogastroduodenoscopy
NCT02988193,hypertension,Hypertension,C0020538,Hypertensive disease
NCT07316049,acute ischemic stroke,Acute Ischemic Stroke,C5392833,Acute Ischemic Stroke
NCT07004231,gout,Gout,C0018099,Gout
NCT06894888,nursing education,nursing education,C0013636,"Education, Nursing"
NCT06686251,consolidation,Consolidation,C0521530,Lung consolidation
NCT06647264,hepatocellular carcinomas,Hepatocellular Carcinomas,C2239176,Liver carcinoma
NCT06641258,knowledge,Knowledge,C0376554,Knowledge
NCT05859048,heart failure,Heart failure,C0018801,Heart failure
NCT05854940,prostate cancer,Prostate Cancer,C0376358,Malignant neoplasm of prostate
NCT05650086,breast cancer,Breast Cancer,C0006142,Malignant neoplasm of breast
NCT05643612,spleen injury,spleen injury,C0160405,Injury of spleen
NCT05633732,echocardiography,Echocardiography,C0013516,Echocardiography
NCT05381064,common bile duct stones,bile common duct stones,C0009438,Common Bile Duct Calculi
NCT05240625,colon adenoma,Colon adenoma,C4551463,Colon adenoma
NCT04502563,heart failure,Heart failure,C0018801,Heart failure
NCT07133165,obstetric ultrasound biometric measurements with or without ia,Foetal biometry using ultrasound,C1960968,Fetal biometry using ultrasound
NCT06715384,colorectal polyp,colorectal polyp,C0949059,Polyp of large intestine
NCT06463860,skin cancer,skin cancer,C0007114,Malignant neoplasm of skin
NCT06341634,suicide,Suicide,C0038661,Suicide
NCT06281769,prostate cancer,Prostate Cancer,C0376358,Malignant neoplasm of prostate
NCT06079450,diabetes,Diabetes,C0011847,Diabetes
NCT06002425,gastrointestinal neoplasm malignant,Gastrointestinal neoplasm malignant,C0685938,Malignant neoplasm of gastrointestinal tract
NCT05813080,psychotic disorders,Psychotic Disorders,C0033975,Psychotic Disorders
NCT05542030,colorectal dysplasia,Colorectal Dysplasia,C1333112,Colorectal Intraepithelial Neoplasia
NCT05509049,women's health,Women's Health,C0080339,Women's Health
