NCT Number,Conditions,Conditions_mapped_concept,Conditions_mapped_concept_id,Conditions_mapped_official_concept
NCT07302750,postmenopausal period,Postmenopausal Period,C0206159,Postmenopause
NCT06844916,"peep, occult","PEEP, Occult",C0242676,"Positive-Pressure Respiration, Intrinsic"
NCT06945692,mandibular tumor,mandibular tumor,C0024694,Mandibular Neoplasms
NCT07006961,avoidant restrictive food intake disorder,Avoidant Restrictive Food Intake Disorder,C3840121,Avoidant Restrictive Food Intake Disorder
NCT05889364,"tuberculosis, pulmonary","Tuberculosis, Pulmonary",C0041327,"Tuberculosis, Pulmonary"
NCT07133867,orthodontic treatment planning,Orthodontic care plan,C4751014,Orthodontic care plan
NCT03976297,palliative care,Palliative Care,C0030231,Palliative Care
NCT05133544,colonic adenoma,Colonic Adenoma,C4551463,Colon adenoma
NCT05865249,lung diseases,Lung diseases,C0024115,Lung diseases
NCT07123675,general anesthesia,General Anesthesia,C0002915,General Anesthesia
NCT07242287,office workers,occupation: office worker,C2230102,occupation: office worker
NCT05775133,cholecystitis,Cholecystitis,C0008325,Cholecystitis
NCT05933694,lung disease,Lung Disease,C0024115,Lung diseases
NCT06083649,periodontal diseases,Periodontal Diseases,C0031090,Periodontal Diseases
NCT06831617,lung nodule,LUNG NODULE,C0034079,Nodule of lung
NCT06367179,pressure injury,pressure injury,C0332679,Crushing injury
NCT06528509,cataract,Cataract,C0086543,Cataract
NCT07107880,communication skills,Communication skills,C0870313,Communication skills (observable entity)
NCT07300657,peri-implant mucositis,Peri-implant mucositis,C3698407,Peri-implant mucositis
NCT06610630,colorectal polyps,Colorectal polyps,C0949059,Polyp of large intestine
NCT04843176,hcc,HCC,C0280604,altretamine/cisplatin/cyclophosphamide protocol
NCT07113951,severe pneumonia,"Pulmonary involvement, severe",C1843376,"Pulmonary involvement, severe"
NCT06376851,coronary artery disease,coronary artery disease,C0010054,Coronary Arteriosclerosis
NCT06920602,migraine,Migraine,C0149931,Migraine Disorders
NCT07144306,skin cancer melanoma,skin cancer melanoma,C0151779,Cutaneous Melanoma
